代码,名称,地区,行业,市场,上市日期,交易日,最新价,涨跌幅,成交额,总市值,流通市值,总市值_亿元,流通市值_亿元,量比,市盈率,市净率
000001,平安银行,深圳,银行,主板,19910403,20260508,11.3,-0.6157,905737835.0,219286875637.00003,219283287379.0,2192.8687563700005,2192.83287379,0.63,5.1436,0.4725
000002,万科Ａ,深圳,全国地产,主板,19910129,20260508,4.0,0.5025,443314476.0,47722837884.0,38867743460.0,477.22837884,388.6774346,0.79,,0.4317
000006,深振业Ａ,深圳,区域地产,主板,19920427,20260508,9.45,0.1059,235372191.0,12757453185.0,12757356795.0,127.57453185,127.57356795,0.86,,2.3761
000007,全新好,深圳,其他商业,主板,19920413,20260508,17.21,1.1163,338605034.0,5962370837.0,5962370837.0,59.62370837,59.62370837,1.51,3093.7627,33.2921
000008,神州高铁,北京,运输设备,主板,19920507,20260508,2.81,2.9304,309161102.0,7633021289.0,7632794435.000001,76.33021289,76.32794435000001,2.5,,3.5367
000009,中国宝安,深圳,电气设备,主板,19910625,20260508,8.62,0.1161,257371973.0,22232824378.0,22205296408.0,222.32824378,222.05296408,0.6,109.4988,2.2166
000010,*ST美丽,深圳,建筑工程,主板,19951027,20260508,2.48,-4.9808,5388048.0,2851137684.0,2152992495.0,28.51137684,21.52992495,0.14,,9.6871
000011,深物业A,深圳,房产服务,主板,19920330,20260508,8.05,2.2872,49848140.0,4797631691.0,4238128121.0,47.97631691,42.38128121,0.81,141.5852,1.4253
000012,南玻Ａ,深圳,玻璃,主板,19920228,20260508,4.03,-0.2475,71448008.0,12261149308.0,7896045890.0,122.61149308,78.9604589,0.52,97.5676,0.9407
000014,沙河股份,深圳,全国地产,主板,19920602,20260508,13.11,1.3138,86910886.0,3173225997.0,3173225997.0,31.73225997,31.73225997,0.95,,2.2978
000016,*ST康佳A,深圳,家用电器,主板,19920327,20260508,3.09,5.102,262523325.0,7440551311.0,4933474842.0,74.40551311,49.33474842,1.41,,
000017,深中华A,深圳,服饰,主板,19920331,20260508,6.43,0.626,36310376.0,4431459119.0,2834485145.0,44.31459119,28.34485145,0.78,107.7449,11.3527
000019,深粮控股,深圳,农业综合,主板,19921012,20260508,7.65,0.3937,153348619.0,8816894693.0,3183979013.9999995,88.16894693,31.839790139999995,0.89,36.2513,1.7447
000020,深华发Ａ,深圳,元器件,主板,19920428,20260508,14.42,-9.9875,114361992.0,4083184893.0,2612404938.0,40.83184893,26.12404938,1.37,115.2112,9.1901
000021,深科技,深圳,元器件,主板,19940202,20260508,31.02,-1.6487,2783560892.0,48833935432.0,48826779118.0,488.33935432,488.26779118,0.95,42.9998,3.6551
001872,招商港口,深圳,港口,主板,19930505,20260508,22.61,1.0729,61190155.0,56115695353.0,52048259681.0,561.15695353,520.48259681,0.75,12.169,0.8553
000025,特力Ａ,深圳,综合类,主板,19930621,20260508,16.05,-0.4342,75584966.0,6918486036.0,6304092036.0,69.18486036,63.04092036,0.68,48.4265,3.7198
000026,飞亚达,深圳,服饰,主板,19930603,20260508,19.9,6.3034,584846266.0,8074703739.0,7254758587.0,80.74703739,72.54758587,2.0,92.4749,2.3763
000027,深圳能源,深圳,火力发电,主板,19930903,20260508,7.08,-0.141,307030820.0,33682320605.0,33682320605.0,336.82320605,336.82320605,1.05,16.0137,1.0068
000028,国药一致,深圳,医药商业,主板,19930809,20260508,24.53,0.0408,76411524.0,13652541339.0,11726636410.999998,136.52541339,117.26636410999998,0.72,12.0189,0.7225
000029,深深房Ａ,深圳,区域地产,主板,19930915,20260508,21.89,2.3375,135881301.0,22145237400.000004,19518437400.0,221.45237400000005,195.184374,0.91,221.5498,6.1286
000030,富奥股份,吉林,汽车配件,主板,19930929,20260508,5.11,0.3929,68470875.0,8788233418.0,8538330018.0,87.88233418,85.38330018,0.89,12.5079,1.0297
000031,大悦城,深圳,全国地产,主板,19931008,20260508,3.09,2.3179,79902704.0,13244708218.0,13244681526.0,132.44708218,132.44681526,0.91,,1.2951
000032,深桑达Ａ,深圳,建筑工程,主板,19931028,20260508,18.29,0.3842,305176181.0,22225629598.0,20813274390.0,222.25629598,208.1327439,0.83,,3.0089
000034,神州数码,深圳,软件服务,主板,19940509,20260508,40.02,-3.3333,1515576086.0,29014148825.0,24264933202.999996,290.14148825,242.64933202999995,0.91,55.4823,2.5844
000035,中国天楹,江苏,环境保护,主板,19940408,20260508,6.59,-1.4948,352970954.0,15737135948.0,15242839679.0,157.37135948,152.42839679,1.21,55.4222,1.4627
000036,华联控股,深圳,全国地产,主板,19940617,20260508,6.07,9.9638,590979074.0,8521179661.0,8516096072.0,85.21179661,85.16096072,1.92,121.4788,1.6568
000037,深南电A,深圳,火力发电,主板,19940701,20260508,11.15,-1.3274,381839941.0,6720802945.0,3778825873.0,67.20802945,37.78825873,1.03,41.7342,3.977
000039,中集集团,深圳,运输设备,主板,19940408,20260508,12.81,-3.028,729008214.0,69078186132.0,29481025476.0,690.78186132,294.81025476,0.7,312.8258,1.4786
