代码,名称,地区,行业,市场,上市日期,交易日,最新价,涨跌幅,成交额,总市值,流通市值,总市值_亿元,流通市值_亿元,量比,市盈率,市净率
000007,全新好,深圳,其他商业,主板,19920413,20260701,12.29,-0.8871,73396009.0,4257845920.0,4257845920.0,42.5784592,42.5784592,0.83,2209.3166,23.7746
000011,深物业A,深圳,房产服务,主板,19920330,20260701,6.62,2.1605,21635523.0,3945381642.0,3485267810.0,39.45381642,34.8526781,0.78,116.4341,1.1721
000019,深粮控股,深圳,农业综合,主板,19921012,20260701,5.8,2.2928,40817941.8,6684704740.0,2413997120.0,66.8470474,24.1399712,1.06,27.4847,1.3228
001872,招商港口,深圳,港口,主板,19930505,20260701,19.64,1.0808,47865152.260000005,48744460713.0,45211314468.0,487.44460713,452.11314468,1.02,10.5705,0.743
000029,深深房A,深圳,区域地产,主板,19930915,20260701,22.5,2.0408,238865019.26999998,22762350000.0,20062350000.0,227.6235,200.6235,0.97,227.7237,6.2994
000030,富奥股份,吉林,汽车配件,主板,19930929,20260701,3.96,2.3256,36424305.89,6810451164.000001,6616788156.0,68.10451164000001,66.16788156,1.04,9.693,0.798
000032,深桑达A,深圳,建筑工程,主板,19931028,20260701,24.0,-3.8076,1593819753.0700002,29164303464.0,27311021616.000004,291.64303464,273.11021616000005,0.71,,3.9483
000037,深南电A,深圳,火力发电,主板,19940701,20260701,8.95,2.2857,171927481.99,5394725270.0,3033228390.0,53.9472527,30.3322839,0.86,33.4997,3.1923
000042,中洲控股,深圳,全国地产,主板,19940921,20260701,7.66,0.1307,68293540.39,5092606226.0,5086940124.0,50.92606226,50.86940124,0.69,,2.2471
000058,深赛格,深圳,商品城,主板,19961226,20260701,6.3,2.6059,46563868.32,7756564410.0,6203858220.0,77.5656441,62.0385822,0.97,111.7745,3.8067
000060,中金岭南,深圳,铅锌,主板,19970123,20260701,7.65,1.0568,1388127950.82,33974969625.0,33974538930.0,339.74969625,339.7453893,0.63,42.3757,1.7009
000096,广聚能源,深圳,石油贸易,主板,20000724,20260701,7.06,1.2912,45335130.76,3727680000.0,3606586880.0,37.2768,36.0658688,1.02,32.4736,1.3527
000099,中信海直,深圳,空运,主板,20000731,20260701,14.63,0.4808,147894807.75,11349516563.0,11349516563.0,113.49516563,113.49516563,0.73,36.7692,2.0316
000151,中成股份,北京,商贸代理,主板,20000906,20260701,10.67,-0.2804,122327477.54,3744170221.0,3285663249.0,37.44170221,32.85663249,0.79,10.4128,4.2761
000403,派林生物,山西,生物制药,主板,19960628,20260701,9.09,3.413,142854664.59,8639112239.0,8550816459.999999,86.39112239,85.50816459999999,0.89,20.6053,1.0651
000415,渤海租赁,新疆,多元金融,主板,19960716,20260701,4.15,1.9656,284102523.28000003,25665763394.999996,22380592684.999996,256.65763394999993,223.80592684999996,0.98,,0.8596
000421,南京公用,江苏,供气供热,主板,19960806,20260701,5.1,2.8226,43719129.55,2929520070.0,2928911130.0,29.2952007,29.2891113,1.43,60.9297,1.0395
000498,山东路桥,山东,建筑工程,主板,19970609,20260701,4.84,2.3256,36441674.2,7513819280.0,7014843352.0,75.1381928,70.14843352,1.21,3.3737,0.45
000503,国新健康,山东,软件服务,主板,19921130,20260701,6.48,5.3659,135019746.0,6345556200.0,6345446040.000001,63.455562,63.45446040000001,1.83,,6.6157
000504,南华生物,湖南,医疗保健,主板,19921208,20260701,7.4,2.7778,50560129.0,2442170940.0,2435505760.0,24.4217094,24.3550576,1.02,84.7132,8.8212
000506,招金黄金,山东,黄金,主板,19930312,20260701,11.46,-2.2184,408038955.15,10646543988.0,10642982220.0,106.46543988,106.4298222,0.95,67.0194,11.9746
000509,华塑控股,四川,元器件,主板,19930507,20260701,3.61,-3.2172,161260979.2,3873992080.0,3873980528.0,38.7399208,38.73980528,0.85,,32.0399
000516,国际医学,陕西,医疗保健,主板,19930809,20260701,3.99,2.5707,110560463.44000001,8933198044.0,8797245210.0,89.33198044,87.9724521,1.13,,2.732
000529,广弘控股,广东,食品,主板,19931118,20260701,4.49,5.3991,44699984.7,2621218896.0,2558780956.0,26.21218896,25.58780956,2.07,21.3319,0.8142
000533,顺钠股份,广东,电气设备,主板,19940103,20260701,9.53,0.2103,244458404.74,6583476480.0,6527119872.0,65.8347648,65.27119872,1.12,64.5759,6.6783
000534,万泽股份,广东,生物制药,主板,19940110,20260701,29.36,7.3099,1035887505.37,14960343960.0,14706820360.0,149.6034396,147.0682036,2.24,75.9337,8.71
000541,佛山照明,广东,家用电器,主板,19931123,20260701,5.35,-2.0147,123245059.58,8216413530.999999,6583147298.0,82.16413530999999,65.83147298,1.17,38.2433,1.1953
000543,皖能电力,安徽,火力发电,主板,19931220,20260701,7.75,2.3778,237212147.8,17568190575.0,17568190575.0,175.68190575,175.68190575,0.92,8.1745,1.0006
000548,湖南投资,湖南,路桥,主板,19931220,20260701,4.2,2.6895,34961781.76,2096706360.0,2096706360.0,20.9670636,20.9670636,1.32,49.8417,1.0133
000553,安道麦A,湖北,农药化肥,主板,19931203,20260701,5.52,3.1776,50685589.31,12860561136.0,12017437440.0,128.60561136,120.1743744,0.98,,0.7179
000554,泰山石油,山东,石油贸易,主板,19931215,20260701,5.73,2.139,77296079.95,2735759277.0,2058816504.0000002,27.35759277,20.588165040000003,1.14,17.6897,2.2983
000555,神州信息,深圳,软件服务,主板,19940408,20260701,10.45,1.4563,236773368.44,10196843525.0,10184900220.0,101.96843525,101.8490022,0.92,180.7043,1.7929
000558,天府文旅,四川,旅游景点,主板,19940509,20260701,3.26,2.8391,107670171.5,4202869914.0,4201111795.9999995,42.02869914,42.01111795999999,1.02,,4.0007
000559,万向钱潮,浙江,汽车配件,主板,19940110,20260701,13.03,0.7734,625550120.4200001,43199119952.0,43185964864.0,431.99119952,431.85964864,0.95,41.715,4.9208
000561,烽火电子,陕西,通信设备,主板,19940509,20260701,7.53,1.7568,99679465.05,6506057799.0,5845142922.0,65.06057799,58.45142922,1.1,,2.2389
000567,海德股份,海南,多元金融,主板,19940525,20260701,6.18,3.5176,186736084.63,12079379178.0,12041975964.0,120.79379178,120.41975964,1.21,31.3758,2.0053
000570,苏常柴A,江苏,农用机械,主板,19940701,20260701,4.78,2.3555,63007424.400000006,3373210150.0,2656210150.0,33.7321015,26.5621015,1.07,66.3744,0.9551
000573,粤宏远A,广东,区域地产,主板,19940815,20260701,3.54,0.0,70128832.16999999,2259513324.0,2240695392.0,22.59513324,22.40695392,0.97,32.9315,1.378
000581,威孚高科,江苏,汽车配件,主板,19980924,20260701,17.33,1.8214,170939251.13,16754396181.0,13758378849.0,167.54396181,137.58378849,1.15,15.6852,0.827
000586,汇源通信,四川,通信设备,主板,19951220,20260701,13.23,0.1514,102184385.7,2559211200.0,2529443700.0,25.592112,25.294437,0.89,,8.0359
000596,古井贡酒,安徽,白酒,主板,19960927,20260701,80.23,0.5388,313379449.0,42409578000.0,32781978000.0,424.09578,327.81978,0.9,11.9494,1.6234
000608,阳光股份,广西,区域地产,主板,19960919,20260701,6.21,-4.1667,184682915.4,4656962214.0,4629105396.0,46.56962214,46.29105396,0.57,,2.2678
