datetime,开盘,最高,最低,收盘,成交量,成交额,代码
2026-06-09 10:30:00,5.8500000000000005,5.87,5.800000000000001,5.8500000000000005,1540600,8983071.3,000726
2026-06-09 11:30:00,5.859999999999999,5.859999999999999,5.790000000000002,5.800000000000002,719200,4179886.81,000726
2026-06-09 14:00:00,5.8,5.819999999999999,5.780000000000002,5.800000000000002,752500,4362076.0,000726
2026-06-09 15:00:00,5.79,5.859999999999999,5.790000000000002,5.86,877300,5111405.0,000726
2026-06-10 10:30:00,5.8100000000000005,5.869999999999999,5.800000000000001,5.82,1206700,7041728.83,000726
2026-06-10 11:30:00,5.810000000000001,5.83,5.800000000000002,5.82,316100,1836963.0,000726
2026-06-10 14:00:00,5.830000000000001,5.859999999999999,5.800000000000002,5.859999999999999,777000,4529258.640000001,000726
2026-06-10 15:00:00,5.87,5.869999999999999,5.830000000000001,5.84,513000,3001183.0,000726
2026-06-11 10:30:00,5.83,5.869999999999999,5.770000000000001,5.780000000000001,1299700,7557992.0,000726
2026-06-11 11:30:00,5.770000000000001,5.780000000000001,5.750000000000002,5.770000000000001,490700,2830488.0,000726
2026-06-11 14:00:00,5.780000000000001,5.83,5.780000000000001,5.820000000000001,655900,3809981.4,000726
2026-06-11 15:00:00,5.82,5.82,5.800000000000002,5.800000000000002,474800,2759267.0,000726
2026-06-12 10:30:00,5.83,5.9,5.8,5.88,1814400,10615590.0,000726
2026-06-12 11:30:00,5.87,5.93,5.87,5.92,804200,4749848.0,000726
2026-06-12 14:00:00,5.92,5.93,5.9,5.9,431700,2555602.0,000726
2026-06-12 15:00:00,5.91,5.94,5.89,5.94,1560500,9236167.06,000726
2026-06-15 10:30:00,5.930000000000001,5.989999999999999,5.890000000000001,5.900000000000001,2478100,14718178.0,000726
2026-06-15 11:30:00,5.8900000000000015,5.900000000000001,5.850000000000002,5.860000000000002,1480000,8698299.800000003,000726
2026-06-15 14:00:00,5.870000000000001,5.9,5.860000000000002,5.870000000000002,885600,5201232.260000027,000726
2026-06-15 15:00:00,5.870000000000001,5.91,5.870000000000002,5.900000000000001,747000,4396391.900000026,000726
2026-06-16 10:30:00,5.9,5.9,5.8000000000000025,5.820000000000002,1565800,9136644.0,000726
2026-06-16 11:30:00,5.83,5.85,5.820000000000002,5.830000000000002,338200,1973557.0,000726
2026-06-16 14:00:00,5.84,5.859999999999999,5.810000000000002,5.810000000000002,1157200,6741316.0,000726
2026-06-16 15:00:00,5.8100000000000005,5.84,5.8000000000000025,5.840000000000002,720400,4192081.0,000726
2026-06-17 10:30:00,5.83,5.83,5.750000000000002,5.780000000000001,1742900,10076729.8,000726
2026-06-17 11:30:00,5.78,5.789999999999999,5.760000000000002,5.770000000000001,580100,3345176.4,000726
2026-06-17 14:00:00,5.7700000000000005,5.779999999999999,5.750000000000002,5.760000000000002,641400,3694622.6,000726
2026-06-17 15:00:00,5.760000000000001,5.789999999999998,5.750000000000002,5.780000000000001,888800,5125608.0,000726
2026-06-18 10:30:00,5.63,5.69,5.62,5.68,1332900,7536411.79,000726
2026-06-18 11:30:00,5.68,5.68,5.65,5.66,976900,5536803.0,000726
2026-06-18 14:00:00,5.65,5.66,5.63,5.65,522100,2947672.0,000726
2026-06-18 15:00:00,5.64,5.65,5.6,5.62,786300,4416904.6,000726
2026-06-22 10:30:00,5.63,5.64,5.520000000000002,5.550000000000002,1622100,9008597.0,000726
2026-06-22 11:30:00,5.57,5.649999999999998,5.550000000000002,5.640000000000001,846200,4745572.0,000726
2026-06-22 14:00:00,5.629999999999999,5.729999999999996,5.630000000000001,5.719999999999999,832200,4737064.93,000726
2026-06-22 15:00:00,5.719999999999997,5.759999999999995,5.709999999999999,5.739999999999998,907900,5209451.3,000726
2026-06-23 10:30:00,5.720000000000001,5.819999999999999,5.720000000000001,5.79,2201700,12753572.039999995,000726
2026-06-23 11:30:00,5.789999999999999,5.819999999999999,5.78,5.79,614600,3565387.999999992,000726
2026-06-23 14:00:00,5.79,5.829999999999999,5.79,5.8,773300,4491598.0,000726
2026-06-23 15:00:00,5.79,5.8,5.75,5.78,1400400,8076637.0,000726
2026-06-24 10:30:00,5.79,5.829999999999999,5.640000000000004,5.640000000000002,2402800,13756808.76,000726
2026-06-24 11:30:00,5.650000000000004,5.73,5.640000000000004,5.720000000000001,718800,4089431.0,000726
2026-06-24 14:00:00,5.720000000000003,5.720000000000001,5.680000000000005,5.700000000000001,680100,3875476.0,000726
2026-06-24 15:00:00,5.690000000000004,5.710000000000001,5.670000000000005,5.700000000000001,838200,4765520.0,000726
2026-06-25 10:30:00,5.66,5.739999999999999,5.620000000000004,5.64,1988200,11269017.0,000726
2026-06-25 11:30:00,5.650000000000001,5.7499999999999964,5.650000000000004,5.679999999999999,705400,4022399.0,000726
2026-06-25 14:00:00,5.680000000000001,5.729999999999997,5.660000000000005,5.679999999999999,534800,3048670.67,000726
2026-06-25 15:00:00,5.670000000000001,5.689999999999998,5.650000000000005,5.689999999999999,739500,4194219.0,000726
2026-06-26 10:30:00,5.65,5.69,5.580000000000003,5.5900000000000025,2206000,12371045.77,000726
2026-06-26 11:30:00,5.580000000000002,5.590000000000002,5.520000000000004,5.530000000000004,1081100,5993758.0,000726
2026-06-26 14:00:00,5.530000000000004,5.570000000000003,5.510000000000004,5.520000000000004,903400,4998484.0,000726
2026-06-26 15:00:00,5.520000000000004,5.550000000000004,5.49,5.49,1328100,7320305.97,000726
