datetime,日期,时间,代码,周期,开盘,最高,最低,收盘,成交量,成交额
2026-03-10 10:00:00,2026-03-10,20260310100000000,601933,30,4.12,4.13,4.1,4.12,17388208,71576739.0
2026-03-10 10:30:00,2026-03-10,20260310103000000,601933,30,4.12,4.12,4.1,4.12,10014700,41167092.0
2026-03-10 11:00:00,2026-03-10,20260310110000000,601933,30,4.12,4.12,4.1,4.11,7400900,30376981.0
2026-03-10 11:30:00,2026-03-10,20260310113000000,601933,30,4.11,4.11,4.1,4.11,5084600,20867145.0
2026-03-10 13:30:00,2026-03-10,20260310133000000,601933,30,4.1,4.11,4.09,4.09,7867500,32257264.0
2026-03-10 14:00:00,2026-03-10,20260310140000000,601933,30,4.09,4.11,4.09,4.11,10533900,43193229.0
2026-03-10 14:30:00,2026-03-10,20260310143000000,601933,30,4.1,4.11,4.1,4.1,5095000,20906341.0
2026-03-10 15:00:00,2026-03-10,20260310150000000,601933,30,4.1,4.11,4.1,4.11,15651700,64261135.0
2026-03-11 10:00:00,2026-03-11,20260311100000000,601933,30,4.11,4.11,4.08,4.08,17910271,73275317.0
2026-03-11 10:30:00,2026-03-11,20260311103000000,601933,30,4.08,4.1,4.07,4.09,16755576,68376887.0
2026-03-11 11:00:00,2026-03-11,20260311110000000,601933,30,4.08,4.1,4.08,4.1,8258863,33784904.0
2026-03-11 11:30:00,2026-03-11,20260311113000000,601933,30,4.1,4.11,4.09,4.1,8911521,36520335.0
2026-03-11 13:30:00,2026-03-11,20260311133000000,601933,30,4.1,4.1,4.08,4.08,5701900,23315348.0
2026-03-11 14:00:00,2026-03-11,20260311140000000,601933,30,4.08,4.08,4.07,4.07,11591500,47242667.0
2026-03-11 14:30:00,2026-03-11,20260311143000000,601933,30,4.07,4.09,4.07,4.07,8173900,33328678.0
2026-03-11 15:00:00,2026-03-11,20260311150000000,601933,30,4.08,4.09,4.07,4.08,12146282,49567480.0
2026-03-12 10:00:00,2026-03-12,20260312100000000,601933,30,4.07,4.1,4.05,4.05,24334500,99106188.0
2026-03-12 10:30:00,2026-03-12,20260312103000000,601933,30,4.06,4.08,4.05,4.07,11300762,45979881.0
2026-03-12 11:00:00,2026-03-12,20260312110000000,601933,30,4.07,4.09,4.06,4.07,9947477,40526162.0
2026-03-12 11:30:00,2026-03-12,20260312113000000,601933,30,4.06,4.07,4.05,4.05,7751043,31464993.0
2026-03-12 13:30:00,2026-03-12,20260312133000000,601933,30,4.05,4.06,4.04,4.05,11827780,47887853.0
2026-03-12 14:00:00,2026-03-12,20260312140000000,601933,30,4.05,4.07,4.04,4.06,11099600,45032376.0
2026-03-12 14:30:00,2026-03-12,20260312143000000,601933,30,4.06,4.08,4.06,4.08,8747600,35594401.0
2026-03-12 15:00:00,2026-03-12,20260312150000000,601933,30,4.08,4.08,4.06,4.06,9098602,36972424.0
2026-03-13 10:00:00,2026-03-13,20260313100000000,601933,30,4.04,4.08,4.04,4.05,20953000,84934346.0
2026-03-13 10:30:00,2026-03-13,20260313103000000,601933,30,4.06,4.06,4.05,4.05,7348600,29787941.0
2026-03-13 11:00:00,2026-03-13,20260313110000000,601933,30,4.05,4.07,4.04,4.07,9954500,40369398.0
2026-03-13 11:30:00,2026-03-13,20260313113000000,601933,30,4.06,4.07,4.06,4.07,3564600,14485612.0
2026-03-13 13:30:00,2026-03-13,20260313133000000,601933,30,4.07,4.07,4.05,4.06,4346600,17644518.0
2026-03-13 14:00:00,2026-03-13,20260313140000000,601933,30,4.06,4.06,4.03,4.03,17009500,68791300.0
2026-03-13 14:30:00,2026-03-13,20260313143000000,601933,30,4.03,4.04,4.01,4.02,21240000,85409273.0
2026-03-13 15:00:00,2026-03-13,20260313150000000,601933,30,4.02,4.02,4.0,4.01,28385600,113735813.0
2026-03-16 10:00:00,2026-03-16,20260316100000000,601933,30,4.02,4.06,4.01,4.04,31215512,126063593.0
2026-03-16 10:30:00,2026-03-16,20260316103000000,601933,30,4.03,4.05,4.01,4.01,12766900,51477823.0
2026-03-16 11:00:00,2026-03-16,20260316110000000,601933,30,4.02,4.02,4.0,4.01,9510800,38142307.0
2026-03-16 11:30:00,2026-03-16,20260316113000000,601933,30,4.01,4.02,4.0,4.01,4184300,16771112.0
2026-03-16 13:30:00,2026-03-16,20260316133000000,601933,30,4.02,4.04,4.01,4.03,7285100,29325517.0
2026-03-16 14:00:00,2026-03-16,20260316140000000,601933,30,4.02,4.03,4.02,4.02,4235500,17032283.0
