datetime,日期,时间,代码,周期,开盘,最高,最低,收盘,成交量,成交额
2026-03-10 09:35:00,2026-03-10,20260310093500000,603301,5,87.28,88.49,87.28,87.52,294000,25811227.0
2026-03-10 09:40:00,2026-03-10,20260310094000000,603301,5,87.49,87.99,86.8,87.87,268000,23452504.0
2026-03-10 09:45:00,2026-03-10,20260310094500000,603301,5,87.87,88.38,87.57,88.25,130800,11508936.0
2026-03-10 09:50:00,2026-03-10,20260310095000000,603301,5,88.3,88.86,88.2,88.86,127400,11279098.0
2026-03-10 09:55:00,2026-03-10,20260310095500000,603301,5,88.87,89.24,88.53,88.61,117700,10470560.0
2026-03-10 10:00:00,2026-03-10,20260310100000000,603301,5,88.61,88.99,88.61,88.87,31400,2788069.0
2026-03-10 10:05:00,2026-03-10,20260310100500000,603301,5,88.87,89.21,88.66,89.05,58600,5215197.0
2026-03-10 10:10:00,2026-03-10,20260310101000000,603301,5,89.05,89.05,88.62,88.89,30700,2729778.0
2026-03-10 10:15:00,2026-03-10,20260310101500000,603301,5,88.89,89.09,88.84,88.96,41300,3674499.0
2026-03-10 10:20:00,2026-03-10,20260310102000000,603301,5,88.96,89.35,88.95,89.19,76800,6849651.0
2026-03-10 10:25:00,2026-03-10,20260310102500000,603301,5,89.18,89.73,89.15,89.62,66000,5904893.0
2026-03-10 10:30:00,2026-03-10,20260310103000000,603301,5,89.62,89.62,89.3,89.37,27100,2423374.0
2026-03-10 10:35:00,2026-03-10,20260310103500000,603301,5,89.3,89.5,89.3,89.45,26700,2387067.0
2026-03-10 10:40:00,2026-03-10,20260310104000000,603301,5,89.45,89.45,89.06,89.43,39000,3483457.0
2026-03-10 10:45:00,2026-03-10,20260310104500000,603301,5,89.35,89.79,89.26,89.76,88400,7916797.0
2026-03-10 10:50:00,2026-03-10,20260310105000000,603301,5,89.76,89.8,89.5,89.79,38300,3434667.0
2026-03-10 10:55:00,2026-03-10,20260310105500000,603301,5,89.8,89.88,89.54,89.54,39200,3520517.0
