日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-08-06,5.98,6.06,5.97,6.01,10912000.0,65661173.9,0.0,600358
2025-08-07,6.01,6.07,5.98,6.0,12569900.0,75637890.9,-0.1664,600358
2025-08-08,6.01,6.26,5.98,6.06,24377421.0,149015945.58,1.0,600358
2025-08-11,6.03,6.1,5.99,5.99,17924800.0,108170145.0,-1.1551,600358
2025-08-12,5.99,5.99,5.92,5.94,14582328.0,86607557.76,-0.8347,600358
2025-08-13,5.93,5.95,5.91,5.94,10981201.0,65081698.91,0.0,600358
2025-08-14,5.94,5.94,5.88,5.88,10663170.0,63013100.6,-1.0101,600358
2025-08-15,5.87,5.88,5.73,5.84,15767901.0,91759122.82,-0.6803,600358
2025-08-18,5.82,5.85,5.73,5.74,16993078.0,98290843.14,-1.7123,600358
2025-08-19,5.75,5.99,5.71,5.95,23107628.0,135055141.56,3.6585,600358
2025-08-20,5.88,5.93,5.83,5.88,12796100.0,75003142.0,-1.1765,600358
2025-08-21,5.86,6.04,5.86,5.98,15932610.0,95046330.4,1.7007,600358
2025-08-22,5.99,6.08,5.93,5.98,13508300.0,80852635.0,0.0,600358
2025-08-25,6.05,6.15,5.98,6.01,15460220.0,93519427.8,0.5017,600358
2025-08-26,6.18,6.31,5.96,5.97,68424672.0,424469040.54,-0.6656,600358
2025-08-27,5.78,5.84,5.67,5.67,39108102.0,222968881.16,-5.0251,600358
2025-08-28,5.5,5.58,5.44,5.51,19972957.0,109842236.03,-2.8219,600358
2025-08-29,5.53,5.75,5.52,5.67,15693704.0,88275536.62,2.9038,600358
2025-09-01,5.63,5.65,5.54,5.58,10170329.0,56703326.38,-1.5873,600358
2025-09-02,5.58,5.58,5.34,5.38,15937800.0,86653877.0,-3.5842,600358
2025-09-03,5.55,5.65,5.46,5.65,17381761.0,97903322.65,5.0186,600358
2025-09-04,5.65,5.9,5.58,5.77,25969117.0,149938661.27,2.1239,600358
2025-09-05,5.88,5.89,5.66,5.77,15844511.0,90942908.63,0.0,600358
2025-09-08,5.68,5.75,5.61,5.73,11921201.0,67502721.66,-0.6932,600358
2025-09-09,5.73,5.99,5.64,5.95,21581277.0,125860468.96,3.8394,600358
2025-09-10,5.92,6.02,5.86,5.87,15228487.0,90181701.87,-1.3445,600358
2025-09-11,5.86,5.87,5.73,5.78,12627001.0,72919659.78,-1.5332,600358
2025-09-12,5.76,5.82,5.62,5.66,14370300.0,81996637.0,-2.0761,600358
2025-09-15,5.65,5.71,5.54,5.68,9455903.0,53137144.02,0.3534,600358
2025-09-16,5.67,5.68,5.59,5.6,7342550.0,41190712.47,-1.4085,600358
2025-09-17,5.59,5.64,5.55,5.6,7321000.0,40960280.0,0.0,600358
2025-09-18,5.56,5.57,5.45,5.49,11373900.0,62753850.0,-1.9643,600358
2025-09-19,5.49,5.55,5.43,5.54,7045300.0,38664829.36,0.9107,600358
2025-09-22,5.63,5.68,5.55,5.56,8034599.0,45018491.44,0.361,600358
2025-09-23,5.51,5.51,5.36,5.39,8336900.0,45143921.0,-3.0576,600358
2025-09-24,5.38,5.43,5.35,5.41,5277000.0,28470910.0,0.3711,600358
2025-09-25,5.37,5.4,5.36,5.37,5229300.0,28093517.0,-0.7394,600358
2025-09-26,5.38,5.62,5.33,5.49,11589399.0,63319445.41,2.2346,600358
2025-09-29,5.48,5.49,5.41,5.41,6980600.0,37993813.0,-1.4572,600358
2025-09-30,5.41,5.45,5.4,5.41,4395400.0,23804578.0,0.0,600358
2025-10-09,5.41,5.43,5.37,5.39,5157200.0,27769939.0,-0.3697,600358
2025-10-10,5.41,5.63,5.38,5.53,9428424.0,51957786.43,2.5974,600358
2025-10-13,5.39,5.63,5.39,5.58,9148000.0,50692415.0,0.9042,600358
2025-10-14,5.56,5.62,5.5,5.5,7330400.0,40753349.0,-1.4337,600358
2025-10-15,5.53,5.57,5.51,5.55,4527400.0,25086447.0,0.9091,600358
2025-10-16,5.57,5.67,5.54,5.61,8543701.0,47981335.6,1.0811,600358
2025-10-17,5.63,5.64,5.52,5.53,6379800.0,35416952.0,-1.426,600358
2025-10-20,5.55,5.56,5.45,5.5,5447300.0,29982884.0,-0.5425,600358
2025-10-21,5.51,5.54,5.46,5.54,4942400.0,27182296.0,0.7273,600358
2025-10-22,5.54,5.59,5.51,5.56,5518900.0,30695143.0,0.361,600358
2025-10-23,5.55,5.58,5.51,5.57,6033600.0,33451701.0,0.1799,600358
2025-10-24,5.55,5.75,5.55,5.7,11759000.0,66601587.0,2.3339,600358
2025-10-27,5.7,5.7,5.58,5.61,7766200.0,43650189.0,-1.5789,600358
2025-10-28,5.59,5.69,5.55,5.66,6244800.0,35095958.0,0.8913,600358
2025-10-29,5.63,5.69,5.59,5.67,6803000.0,38381567.0,0.1767,600358
2025-10-30,5.66,5.89,5.61,5.75,12100000.0,69770568.0,1.4109,600358
2025-10-31,5.72,5.9,5.71,5.86,10184601.0,59195077.76,1.913,600358
2025-11-03,5.85,6.1,5.8,6.01,12790080.0,76667981.2,2.5597,600358
2025-11-04,6.02,6.06,5.94,6.0,10602080.0,63532896.99,-0.1664,600358
2025-11-05,5.95,6.0,5.87,5.89,9413801.0,55759041.91,-1.8333,600358
2025-11-06,5.89,5.89,5.74,5.82,10756040.0,62332227.39,-1.1885,600358
2025-11-07,5.82,5.87,5.77,5.81,6414900.0,37299001.0,-0.1718,600358
