日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-12-08,9.37,9.91,9.36,9.74,122470486,1186404883.75,4.8439,002292
2025-12-09,9.75,9.97,9.63,9.72,81886426,798835256.14,-0.2053,002292
2025-12-10,9.73,9.95,9.63,9.78,76175308,748024747.23,0.6173,002292
2025-12-11,9.74,9.81,9.49,9.51,58850592,565081094.58,-2.7607,002292
2025-12-12,9.56,10.08,9.52,9.74,89930350,883389925.23,2.4185,002292
2025-12-15,9.57,9.6,9.35,9.41,57003594,539272320.76,-3.3881,002292
2025-12-16,9.35,9.38,8.53,8.74,95849420,847074239.43,-7.1201,002292
2025-12-17,8.73,8.95,8.46,8.93,61394450,535480501.28,2.1739,002292
2025-12-18,8.83,9.28,8.8,9.03,59268820,539178627.61,1.1198,002292
2025-12-19,9.16,9.33,8.95,9.21,54580085,499674805.05,1.9934,002292
2025-12-22,9.15,9.19,8.85,8.89,65104648,582353325.69,-3.4745,002292
2025-12-23,8.85,8.85,8.73,8.77,30886152,271149214.43,-1.3498,002292
2025-12-24,8.74,8.81,8.72,8.78,29814970,261570503.92,0.114,002292
2025-12-25,8.76,8.86,8.67,8.78,32530500,284669053.56,0.0,002292
2025-12-26,8.78,8.92,8.74,8.82,35320755,311988641.87,0.4556,002292
2025-12-29,8.81,8.88,8.68,8.68,29514153,258228264.01,-1.5873,002292
2025-12-30,8.68,8.89,8.63,8.73,45090675,395402012.7,0.576,002292
2025-12-31,8.73,8.9,8.68,8.85,47276654,416706633.54,1.3746,002292
2026-01-05,8.85,9.33,8.8,9.22,86172141,784234024.47,4.1808,002292
2026-01-06,9.2,9.49,9.18,9.42,74663452,699788801.9,2.1692,002292
2026-01-07,9.42,9.56,9.34,9.42,55882619,527894199.96,0.0,002292
2026-01-08,9.39,9.55,9.35,9.49,38726932,366495254.32,0.7431,002292
2026-01-09,9.43,10.0,9.43,9.99,82410363,804066810.16,5.2687,002292
2026-01-12,10.08,10.87,10.02,10.85,140933744,1464257364.52,8.6086,002292
2026-01-13,10.66,10.67,10.2,10.3,112135559,1170209593.97,-5.0691,002292
2026-01-14,10.25,10.72,10.1,10.32,106712923,1111881921.37,0.1942,002292
2026-01-15,10.14,10.38,9.93,10.06,77077933,778972429.43,-2.5194,002292
2026-01-16,10.0,10.07,9.34,9.52,77068212,738601577.57,-5.3678,002292
2026-01-19,9.42,9.53,9.27,9.33,54638524,510984002.25,-1.9958,002292
2026-01-20,9.36,9.46,9.01,9.08,65818427,602584488.01,-2.6795,002292
2026-01-21,9.02,9.16,8.96,9.04,50746267,459446110.41,-0.4405,002292
2026-01-22,9.04,9.22,9.01,9.19,62288288,569045297.26,1.6593,002292
2026-01-23,9.22,9.46,9.15,9.38,62945250,588753962.4,2.0675,002292
2026-01-26,9.38,9.48,9.03,9.18,60829861,558363523.79,-2.1322,002292
2026-01-27,9.18,9.3,8.92,9.09,48165969,435071919.23,-0.9804,002292
2026-01-28,9.08,9.16,8.96,8.98,39907215,360001691.4,-1.2101,002292
2026-01-29,9.06,9.57,8.93,9.37,114552129,1072182419.19,4.343,002292
2026-01-30,9.33,9.46,9.16,9.37,75004349,700800152.82,0.0,002292
2026-02-02,9.31,9.55,9.24,9.26,69449185,654310335.55,-1.174,002292
2026-02-03,9.37,9.68,9.3,9.62,85050902,806950294.47,3.8877,002292
2026-02-04,9.53,9.64,9.26,9.5,65112775,613334335.68,-1.2474,002292
2026-02-05,9.39,9.72,9.35,9.59,78023366,748596045.23,0.9474,002292
2026-02-06,9.48,9.64,9.18,9.44,72572513,683540765.93,-1.5641,002292
2026-02-09,9.71,9.95,9.57,9.89,114952189,1128011227.98,4.7669,002292
2026-02-10,10.1,10.88,9.91,10.88,214854935,2248828736.58,10.0101,002292
2026-02-11,10.69,10.8,10.12,10.29,214836648,2216424498.75,-5.4228,002292
2026-02-12,10.16,10.22,9.7,9.76,120977431,1190325695.69,-5.1506,002292
2026-02-13,9.87,9.96,9.6,9.61,91397578,891577476.35,-1.5369,002292
2026-02-24,9.62,9.66,9.24,9.26,84707825,790448317.44,-3.642,002292
2026-02-25,9.23,9.33,9.22,9.27,62022906,574670591.84,0.108,002292
2026-02-26,9.24,9.27,9.11,9.16,51900552,475495931.55,-1.1866,002292
2026-02-27,9.17,9.2,9.12,9.18,40664706,372714137.62,0.2183,002292
2026-03-02,8.99,9.03,8.78,8.82,68456319,607929159.38,-3.9216,002292
2026-03-03,8.82,8.86,8.48,8.49,55480425,479302853.91,-3.7415,002292
2026-03-04,8.39,8.54,8.33,8.42,35129538,296392274.45,-0.8245,002292
2026-03-05,8.57,8.72,8.47,8.55,41324401,354234431.13,1.5439,002292
2026-03-06,8.46,8.57,8.46,8.56,27244417,232317636.32,0.117,002292
2026-03-09,8.37,8.59,8.23,8.57,40509550,339467498.83,0.1168,002292
2026-03-10,8.63,8.71,8.56,8.62,30770302,265424776.58,0.5834,002292
2026-03-11,8.59,8.64,8.53,8.58,22686054,194658527.28,-0.464,002292
2026-03-12,8.54,8.57,8.45,8.5,22429470,190645948.55,-0.9324,002292
2026-03-13,8.5,8.53,8.36,8.38,23479048,198401389.41,-1.4118,002292
2026-03-16,8.32,8.47,8.31,8.47,18073426,151800822.55,1.074,002292
2026-03-17,8.5,8.52,8.32,8.34,23338639,196760801.56,-1.5348,002292
2026-03-18,8.35,8.39,8.25,8.36,19810943,164616123.48,0.2398,002292
2026-03-19,8.2,8.25,8.04,8.11,28656226,233477752.63,-2.9904,002292
2026-03-20,8.11,8.15,7.78,7.79,32240907,255950218.65,-3.9457,002292
2026-03-23,7.6,7.68,7.39,7.42,38515217,290730676.15,-4.7497,002292
2026-03-24,7.54,7.57,7.35,7.55,31062724,232036235.13,1.752,002292
2026-03-25,7.62,7.89,7.57,7.79,30880682,239943216.32,3.1788,002292
2026-03-26,7.74,7.8,7.56,7.6,21678214,166334935.18,-2.439,002292
2026-03-27,7.51,7.76,7.48,7.71,20879374,160127122.72,1.4474,002292
2026-03-30,7.58,7.72,7.57,7.7,17976281,137854420.69,-0.1297,002292
