日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-08-06,7.56,7.62,7.52,7.62,36482572.0,276389949.5,0.5277,002617
2025-08-07,7.63,7.64,7.54,7.56,35228540.0,267132951.55,-0.7874,002617
2025-08-08,7.56,7.56,7.46,7.48,33720252.0,253025417.66,-1.0582,002617
2025-08-11,7.46,7.58,7.46,7.55,34223687.0,257868934.79,0.9358,002617
2025-08-12,7.59,7.64,7.53,7.57,43589445.0,330551576.95,0.2649,002617
2025-08-13,7.57,7.63,7.56,7.62,48565930.0,369692745.64,0.6605,002617
2025-08-14,7.63,7.67,7.48,7.53,48423910.0,366674560.2,-1.1811,002617
2025-08-15,7.51,7.76,7.51,7.74,86883953.0,667776789.72,2.7888,002617
2025-08-18,7.77,7.9,7.74,7.86,99961278.0,783696841.74,1.5504,002617
2025-08-19,7.86,7.94,7.77,7.88,73744330.0,578929745.34,0.2545,002617
2025-08-20,7.88,8.11,7.85,8.0,105505716.0,843978625.8,1.5228,002617
2025-08-21,7.96,8.03,7.86,7.91,70926838.0,562834474.4,-1.125,002617
2025-08-22,7.89,7.99,7.87,7.96,67313999.0,533551303.47,0.6321,002617
2025-08-25,7.98,8.05,7.92,7.99,83892593.0,670712701.05,0.3769,002617
2025-08-26,7.95,8.36,7.88,8.15,155742001.0,1264733502.74,2.0025,002617
2025-08-27,8.31,8.34,7.9,7.91,138000155.0,1127035023.08,-2.9448,002617
2025-08-28,7.91,8.16,7.85,8.16,118288068.0,949376254.21,3.1606,002617
2025-08-29,8.17,8.18,7.97,8.01,73123993.0,587298018.82,-1.8382,002617
2025-09-01,7.99,7.99,7.78,7.85,83565473.0,655924831.59,-1.9975,002617
2025-09-02,7.86,8.64,7.85,8.26,336321949.0,2836747691.95,5.2229,002617
2025-09-03,8.27,8.36,8.1,8.1,214278688.0,1760649209.35,-1.937,002617
2025-09-04,8.3,8.58,8.11,8.26,195995609.0,1632979365.11,1.9753,002617
2025-09-05,8.21,9.09,8.21,9.09,317339182.0,2797359014.13,10.0484,002617
2025-09-08,9.5,10.0,9.36,9.73,675020713.0,6662347506.19,7.0407,002617
2025-09-09,9.42,9.87,9.24,9.28,454318204.0,4286786350.21,-4.6249,002617
2025-09-10,9.36,9.37,8.87,9.19,329467678.0,3008198878.79,-0.9698,002617
2025-09-11,9.05,9.51,8.87,9.44,351255430.0,3207535408.13,2.7203,002617
2025-09-12,9.51,9.83,9.28,9.29,385597936.0,3673999750.8,-1.589,002617
2025-09-15,9.59,9.77,9.28,9.4,263919245.0,2491143061.5,1.1841,002617
2025-09-16,9.31,10.2,9.31,9.83,376745427.0,3690555375.26,4.5745,002617
2025-09-17,10.81,10.81,10.63,10.81,94546677.0,1021872445.81,9.9695,002617
2025-09-18,11.5,11.7,10.29,10.6,621322880.0,6893368255.08,-1.9426,002617
2025-09-19,10.71,10.92,10.04,10.05,401310697.0,4197244124.99,-5.1887,002617
2025-09-22,10.18,10.24,9.81,9.93,255711076.0,2557535847.91,-1.194,002617
2025-09-23,9.85,10.43,9.64,10.27,361041647.0,3646702967.11,3.424,002617
2025-09-24,10.09,10.16,9.73,9.98,239078427.0,2370177155.18,-2.8238,002617
2025-09-25,9.95,10.0,9.57,9.61,206342249.0,2008271436.76,-3.7074,002617
2025-09-26,9.56,9.76,9.36,9.46,179461437.0,1707763726.9,-1.5609,002617
2025-09-29,9.39,9.4,9.19,9.32,134138925.0,1249304062.08,-1.4799,002617
2025-09-30,9.37,9.48,9.25,9.28,108339343.0,1012770526.03,-0.4292,002617
2025-10-09,9.3,9.53,9.3,9.46,118945152.0,1122044877.39,1.9397,002617
2025-10-10,9.37,9.38,9.03,9.08,134165210.0,1228559933.83,-4.0169,002617
2025-10-13,8.6,8.95,8.6,8.92,105852143.0,931365827.19,-1.7621,002617
2025-10-14,8.94,9.12,8.68,8.71,94243202.0,839851801.55,-2.3543,002617
