日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-08-06,1.92,1.92,1.9,1.92,180552596.0,344678364.11,0.0,600567
2025-08-07,1.91,1.92,1.9,1.91,107887699.0,206424125.09,-0.5208,600567
2025-08-08,1.91,1.93,1.91,1.91,97412206.0,186799270.59,0.0,600567
2025-08-11,1.91,1.92,1.9,1.9,106858436.0,203734490.4,-0.5236,600567
2025-08-12,1.9,1.91,1.88,1.89,103378902.0,195649754.78,-0.5263,600567
2025-08-13,1.89,1.91,1.88,1.9,123668400.0,234474796.0,0.5291,600567
2025-08-14,1.9,1.91,1.88,1.88,120638643.0,228071411.84,-1.0526,600567
2025-08-15,1.88,1.99,1.88,1.92,478992434.0,929099626.97,2.1277,600567
2025-08-18,1.91,1.93,1.91,1.92,168361944.0,322990577.83,0.0,600567
2025-08-19,1.92,1.93,1.91,1.93,140214087.0,269267430.04,0.5208,600567
2025-08-20,1.92,1.93,1.9,1.92,151282878.0,289430031.2,-0.5181,600567
2025-08-21,1.92,1.93,1.91,1.92,126904007.0,243701929.02,0.0,600567
2025-08-22,1.91,1.92,1.9,1.91,144310963.0,275336390.23,-0.5208,600567
2025-08-25,1.91,1.94,1.91,1.94,249669398.0,481312785.4,1.5707,600567
2025-08-26,1.93,1.94,1.92,1.93,135425858.0,261309067.25,-0.5155,600567
2025-08-27,1.93,1.94,1.89,1.89,209772242.0,401544734.25,-2.0725,600567
2025-08-28,1.89,1.91,1.85,1.88,191972677.0,360554321.75,-0.5291,600567
2025-08-29,1.88,1.89,1.87,1.87,70177023.0,131730576.92,-0.5319,600567
2025-09-01,1.87,1.9,1.86,1.88,105743382.0,199144116.16,0.5348,600567
2025-09-02,1.88,1.91,1.87,1.91,171460521.0,325021127.27,1.5957,600567
2025-09-03,1.91,1.91,1.86,1.87,132832459.0,249616736.33,-2.0942,600567
2025-09-04,1.88,1.88,1.85,1.86,104763946.0,195192623.24,-0.5348,600567
2025-09-05,1.86,1.87,1.85,1.87,92638923.0,172304799.79,0.5376,600567
2025-09-08,1.86,1.89,1.86,1.88,109741792.0,206445772.71,0.5348,600567
2025-09-09,1.88,1.9,1.87,1.88,136021430.0,255971170.49,0.0,600567
2025-09-10,1.88,1.9,1.87,1.88,94858296.0,178901015.07,0.0,600567
2025-09-11,1.88,1.89,1.86,1.89,119443915.0,224225365.16,0.5319,600567
2025-09-12,1.89,1.97,1.88,1.95,502675738.0,973402147.81,3.1746,600567
2025-09-15,1.96,2.06,1.96,2.03,469789007.0,943288922.62,4.1026,600567
