日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-12-08,38.48,38.75,38.4,38.57,1590918,61363928.7,0.0259,603271
2025-12-09,38.61,38.61,37.92,37.95,1154552,44080391.87,-1.6075,603271
2025-12-10,37.95,38.09,37.64,38.07,1045543,39595373.86,0.3162,603271
2025-12-11,38.1,38.27,37.68,37.68,1084890,41115288.1,-1.0244,603271
2025-12-12,37.9,38.38,37.61,38.29,1409072,53723579.8,1.6189,603271
2025-12-15,38.16,38.73,37.96,38.16,1557103,59568389.19,-0.3395,603271
2025-12-16,37.94,38.1,37.46,37.96,1751886,66101546.68,-0.5241,603271
2025-12-17,37.9,40.39,37.76,40.35,6336032,248770346.17,6.2961,603271
2025-12-18,40.59,43.8,40.59,42.16,9230698,393669605.94,4.4857,603271
2025-12-19,42.37,42.66,41.3,42.19,3923656,164343565.63,0.0712,603271
2025-12-22,42.36,42.5,41.4,41.43,3289865,137815655.65,-1.8014,603271
2025-12-23,41.75,43.2,41.37,42.61,3533294,150362252.13,2.8482,603271
2025-12-24,42.3,43.32,42.21,42.9,2447726,104879884.75,0.6806,603271
2025-12-25,42.9,42.9,41.98,42.3,1977757,83667347.01,-1.3986,603271
2025-12-26,42.3,42.6,41.81,41.92,1852689,78084996.47,-0.8983,603271
2025-12-29,41.92,42.38,41.78,41.97,1571570,66135638.9,0.1193,603271
2025-12-30,41.85,42.3,41.34,41.48,1627870,67919618.69,-1.1675,603271
2025-12-31,41.43,41.68,40.96,41.08,1563165,64527473.52,-0.9643,603271
2026-01-05,41.41,41.72,41.07,41.19,2056369,84961347.11,0.2678,603271
2026-01-06,41.58,42.64,41.15,41.58,3339229,139636183.36,0.9468,603271
2026-01-07,41.3,42.62,41.16,42.07,3797694,159619837.78,1.1785,603271
2026-01-08,41.78,42.14,41.24,41.3,3014967,125495731.68,-1.8303,603271
2026-01-09,41.37,42.3,41.28,41.97,2768366,115645773.56,1.6223,603271
2026-01-12,42.3,42.77,41.23,41.82,3197410,133053022.68,-0.3574,603271
2026-01-13,41.7,42.57,40.61,40.68,3466526,143946150.72,-2.726,603271
2026-01-14,40.8,41.19,39.99,40.3,3672751,149241563.7,-0.9341,603271
2026-01-15,40.01,41.31,39.99,40.99,2714200,111021409.0,1.7122,603271
2026-01-16,41.0,41.89,41.0,41.55,3387345,140582417.89,1.3662,603271
2026-01-19,41.32,42.13,41.28,41.88,2329946,97336743.84,0.7942,603271
2026-01-20,41.88,42.35,41.35,41.53,2215753,92365111.69,-0.8357,603271
2026-01-21,41.48,42.78,41.35,42.56,2928837,123988432.94,2.4801,603271
2026-01-22,42.38,42.55,41.81,41.96,2440183,102684239.99,-1.4098,603271
2026-01-23,42.07,42.93,42.03,42.85,2685433,114337035.96,2.1211,603271
2026-01-26,47.14,47.14,47.14,47.14,1180039,55627038.46,10.0117,603271
2026-01-27,50.5,50.5,47.11,47.93,13296035,640647791.19,1.6759,603271
2026-01-28,47.59,48.45,46.22,46.61,8924230,419223379.33,-2.754,603271
2026-01-29,47.23,47.8,44.58,44.83,8424264,386513430.8,-3.8189,603271
2026-01-30,44.1,44.5,43.0,43.81,4976924,217952959.9,-2.2753,603271
2026-02-02,43.11,47.88,42.8,46.04,9430907,431642235.42,5.0902,603271
2026-02-03,46.05,49.49,45.7,48.65,8360753,399598212.83,5.669,603271
2026-02-04,48.7,49.5,48.1,49.08,5808153,283516900.4,0.8839,603271
2026-02-05,48.18,53.09,48.18,52.45,8222430,427015340.01,6.8663,603271
2026-02-06,51.98,52.86,49.5,50.94,5178651,267075454.92,-2.8789,603271
2026-02-09,51.49,51.55,49.11,49.4,4793231,238735290.1,-3.0232,603271
2026-02-10,49.3,49.3,47.0,47.59,4393348,210303489.0,-3.664,603271
2026-02-11,47.41,48.63,46.95,48.15,4283297,205479331.77,1.1767,603271
2026-02-12,47.93,48.34,47.32,47.42,2598230,123990203.14,-1.5161,603271
2026-02-13,47.18,47.7,46.75,46.81,2163600,101800393.9,-1.2864,603271
2026-02-24,47.24,47.94,46.5,47.28,2119021,99977244.56,1.0041,603271
2026-02-25,47.6,48.35,47.38,47.73,3258280,156141929.13,0.9518,603271
2026-02-26,47.73,47.98,46.66,46.89,2521391,118602810.38,-1.7599,603271
2026-02-27,46.77,48.29,46.11,48.23,3737710,176003677.15,2.8578,603271
2026-03-02,47.31,48.6,46.7,47.52,3101253,147300906.24,-1.4721,603271
2026-03-03,47.19,47.7,45.3,45.45,2779562,128594056.0,-4.3561,603271
2026-03-04,44.0,46.29,44.0,45.15,1893361,86288482.9,-0.6601,603271
2026-03-05,45.8,48.48,45.7,46.7,3390114,160263307.12,3.433,603271
2026-03-06,46.23,46.69,45.77,45.82,1679156,77355692.12,-1.8844,603271
2026-03-09,45.0,46.99,45.0,46.16,3019309,138407609.49,0.742,603271
2026-03-10,46.11,46.99,45.53,46.24,2568220,119050896.75,0.1733,603271
2026-03-11,46.28,46.56,45.28,45.85,3510074,161639591.1,-0.8434,603271
2026-03-12,45.58,47.8,45.41,47.24,4990684,234279451.68,3.0316,603271
2026-03-13,47.14,47.14,45.88,46.0,2537586,117897434.96,-2.6249,603271
2026-03-16,45.84,45.98,43.7,43.86,4114890,182840556.02,-4.6522,603271
2026-03-17,44.16,44.7,42.95,42.97,2600604,113803750.63,-2.0292,603271
2026-03-18,43.0,43.38,42.63,43.25,2159523,92873592.5,0.6516,603271
2026-03-19,43.0,43.0,41.66,41.98,2136000,89960838.0,-2.9364,603271
2026-03-20,41.98,42.39,41.2,41.26,1613902,67474656.86,-1.7151,603271
2026-03-23,40.9,40.95,39.09,39.4,2114496,84585631.8,-4.508,603271
2026-03-24,40.0,40.81,39.67,40.74,1365270,54823284.1,3.401,603271
2026-03-25,41.27,41.74,40.76,41.47,1393700,57634711.05,1.7919,603271
2026-03-26,42.18,42.49,41.38,41.9,1729598,72496348.06,1.0369,603271
2026-03-27,41.74,44.83,41.6,44.29,3600978,157140406.81,5.7041,603271
2026-03-30,43.19,47.31,42.89,47.0,8388136,386413178.49,6.1188,603271
2026-03-31,47.11,47.37,44.51,44.65,4374147,199435252.0,-5.0,603271
2026-04-01,45.3,48.98,45.25,47.67,7405070,352787785.17,6.7637,603271
2026-04-02,47.29,48.18,46.5,47.65,3840399,182652867.19,-0.042,603271
2026-04-03,47.65,47.65,46.44,46.52,2250569,105383828.5,-2.3715,603271
2026-04-07,46.99,48.04,46.21,47.5,3005682,142531492.83,2.1066,603271
2026-04-08,48.0,48.36,47.55,48.33,3707430,178594110.07,1.7474,603271
2026-04-09,47.91,48.8,47.6,47.93,3152616,151855274.04,-0.8276,603271
2026-04-10,48.0,48.35,47.47,47.92,2359401,113154988.65,-0.0209,603271
2026-04-13,47.41,48.0,47.14,47.8,1463337,69699649.52,-0.2504,603271
2026-04-14,47.7,48.15,47.28,47.69,2034272,96916251.58,-0.2301,603271
2026-04-15,47.69,49.26,47.5,48.75,3563595,173274406.0,2.2227,603271
2026-04-16,48.93,51.33,48.29,50.15,6316178,314361687.93,2.8718,603271
2026-04-17,50.14,50.95,49.2,50.55,3826374,192235314.75,0.7976,603271
2026-04-20,52.5,52.85,49.71,51.01,7996662,408538188.63,0.91,603271
2026-04-21,50.73,52.4,49.69,51.25,4893376,248501360.0,0.4705,603271
2026-04-22,50.99,52.88,50.8,51.8,4392387,228358028.27,1.0732,603271
2026-04-23,51.51,51.59,49.26,49.29,4189687,209427514.91,-4.8456,603271
2026-04-24,48.85,50.22,48.41,49.78,3141631,155340633.97,0.9941,603271
2026-04-27,49.51,52.58,49.51,50.91,4268867,219297598.34,2.27,603271
2026-04-28,50.98,51.6,49.88,50.35,2614071,132366770.14,-1.1,603271
2026-04-29,50.29,51.6,49.48,50.0,3033939,152595077.85,-0.6951,603271
2026-04-30,50.98,52.12,50.8,52.0,5426687,279814013.78,4.0,603271
2026-05-06,51.85,53.8,51.6,53.2,5982824,316808148.91,2.3077,603271
2026-05-07,52.81,53.5,52.11,52.43,4056958,213981045.08,-1.4474,603271
