日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-08-08,8.65,8.75,8.62,8.72,22015846.0,191454985.38,0.2299,000612
2025-08-11,8.74,8.8,8.61,8.72,19769540.0,171721568.0,0.0,000612
2025-08-12,8.68,8.72,8.62,8.69,13914310.0,120635833.5,-0.344,000612
2025-08-13,8.76,9.02,8.74,8.98,32476910.0,290119188.38,3.3372,000612
2025-08-14,8.93,9.05,8.86,8.86,28539747.0,255365388.32,-1.3363,000612
2025-08-15,8.84,9.07,8.84,9.07,34396841.0,309642057.58,2.3702,000612
2025-08-18,9.08,9.19,8.97,9.09,35677181.0,322916415.43,0.2205,000612
2025-08-19,9.09,9.32,9.06,9.17,36563841.0,336417096.55,0.8801,000612
2025-08-20,9.11,9.41,9.1,9.34,42004375.0,390110030.25,1.8539,000612
2025-08-21,9.28,9.38,9.17,9.23,27493772.0,254592677.56,-1.1777,000612
2025-08-22,9.23,9.34,9.13,9.2,27181457.0,250191769.61,-0.325,000612
2025-08-25,9.24,9.46,8.88,9.07,102652230.0,944407546.23,-1.413,000612
2025-08-26,9.03,9.29,8.85,9.05,62589125.0,567474044.24,-0.2205,000612
2025-08-27,9.04,9.07,8.75,8.75,45194220.0,403796436.8,-3.3149,000612
2025-08-28,8.73,8.89,8.45,8.73,46887174.0,406736603.02,-0.2286,000612
2025-08-29,8.73,8.95,8.7,8.88,34275683.0,303230253.98,1.7182,000612
2025-09-01,9.03,9.27,8.91,9.19,71701960.0,654808650.66,3.491,000612
2025-09-02,9.31,9.36,9.02,9.12,49000490.0,447198972.71,-0.7617,000612
2025-09-03,9.16,9.26,8.67,8.75,46035929.0,410313376.44,-4.057,000612
2025-09-04,8.73,8.85,8.13,8.28,55448450.0,469164899.29,-5.3714,000612
2025-09-05,8.29,8.73,8.27,8.71,46262809.0,392888312.74,5.1932,000612
2025-09-08,8.73,8.75,8.55,8.71,32560062.0,281604688.82,0.0,000612
2025-09-09,8.7,8.86,8.57,8.63,31403334.0,273640460.68,-0.9185,000612
2025-09-10,8.64,8.84,8.53,8.7,29635911.0,257484856.46,0.8111,000612
2025-09-11,8.68,8.76,8.55,8.74,29412341.0,255401044.97,0.4598,000612
2025-09-12,8.88,9.28,8.88,9.04,74872102.0,680953004.57,3.4325,000612
2025-09-15,8.99,9.0,8.68,8.69,54459102.0,479489690.54,-3.8717,000612
2025-09-16,8.77,8.8,8.31,8.4,62223780.0,525804433.55,-3.3372,000612
2025-09-17,8.37,8.49,8.26,8.48,43514187.0,365007996.64,0.9524,000612
2025-09-18,8.4,8.4,8.07,8.13,51301711.0,422379995.15,-4.1274,000612
2025-09-19,8.19,8.23,8.05,8.12,26751080.0,217854209.36,-0.123,000612
2025-09-22,8.16,8.26,7.92,8.02,30642021.0,245208546.55,-1.2315,000612
2025-09-23,8.06,8.07,7.76,7.9,30768821.0,242221330.16,-1.4963,000612
2025-09-24,7.86,7.99,7.82,7.97,17375566.0,137653777.35,0.8861,000612
2025-09-25,8.06,8.14,7.95,8.0,26550662.0,213118437.76,0.3764,000612
