日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-12-08,7.54,7.62,7.51,7.52,12836100,97160122.18,-0.3974,600037
2025-12-09,7.54,7.67,7.51,7.59,14161800,107625187.0,0.9309,600037
2025-12-10,7.55,7.63,7.52,7.55,9510701,71855773.59,-0.527,600037
2025-12-11,7.56,7.58,7.38,7.38,13325700,99396877.0,-2.2517,600037
2025-12-12,7.37,7.42,7.32,7.33,9400500,69325560.0,-0.6775,600037
2025-12-15,7.28,7.38,7.26,7.31,10942253,80000049.43,-0.2729,600037
2025-12-16,7.31,7.31,7.15,7.2,11072585,79722688.44,-1.5048,600037
2025-12-17,7.19,7.26,7.12,7.24,10729167,77232579.98,0.5556,600037
2025-12-18,7.21,7.33,7.19,7.21,12631793,91565595.43,-0.4144,600037
2025-12-19,7.23,7.36,7.2,7.34,11698853,85424942.43,1.8031,600037
2025-12-22,7.35,7.36,7.31,7.32,10239200,75031142.0,-0.2725,600037
2025-12-23,7.31,7.35,7.24,7.27,8066000,58807602.0,-0.6831,600037
2025-12-24,7.29,7.33,7.25,7.29,8284700,60364411.0,0.2751,600037
2025-12-25,7.3,7.32,7.26,7.29,11141398,81200307.47,0.0,600037
2025-12-26,7.32,7.36,7.29,7.31,11439268,83724062.76,0.2743,600037
2025-12-29,7.31,7.35,7.26,7.28,12228600,89393869.0,-0.4104,600037
2025-12-30,7.28,7.34,7.25,7.26,12269400,89444785.0,-0.2747,600037
2025-12-31,7.28,7.38,7.27,7.3,13728980,100520540.22,0.551,600037
2026-01-05,7.31,7.39,7.28,7.38,19015717,139384812.74,1.0959,600037
2026-01-06,7.38,7.48,7.36,7.46,15575807,115918904.98,1.084,600037
2026-01-07,7.46,7.56,7.44,7.47,16752680,125548898.42,0.134,600037
2026-01-08,7.5,7.63,7.47,7.63,17333119,131303078.33,2.1419,600037
2026-01-09,7.73,7.94,7.72,7.91,38793106,304639223.92,3.6697,600037
2026-01-12,8.05,8.13,7.96,8.06,47264350,380050709.29,1.8963,600037
2026-01-13,8.14,8.25,7.96,8.11,44342211,360552947.19,0.6203,600037
2026-01-14,8.06,8.33,8.02,8.12,39949713,327587814.08,0.1233,600037
2026-01-15,8.06,8.17,8.0,8.1,25748293,207666587.33,-0.2463,600037
2026-01-16,8.11,8.11,7.78,7.84,26458702,208369143.88,-3.2099,600037
2026-01-19,7.82,7.88,7.72,7.8,17044303,133024267.38,-0.5102,600037
2026-01-20,7.83,7.88,7.76,7.81,17992100,140533271.9,0.1282,600037
2026-01-21,7.78,7.87,7.74,7.77,15250600,118757911.0,-0.5122,600037
