date,开盘,最高,最低,收盘,成交量,成交额,代码,涨跌幅
2026-06-09,1630.2322,1666.4805,1607.5775,1663.1089,14098958.0,112366426739.0,SH000688,4.1679
2026-06-10,1662.8455,1722.3344,1632.3265,1652.2241,15911725.0,139088834511.0,SH000688,-0.6545
2026-06-11,1644.6025,1676.5306,1631.9357,1662.436,14220694.0,117155580143.0,SH000688,0.6181
2026-06-12,1726.0051,1730.8928,1656.8454,1663.2213,21018567.0,175820241129.0,SH000688,0.0472
2026-06-15,1687.6699,1748.5116,1658.3235,1748.3264,16140938.0,158477476718.0,SH000688,5.1169
2026-06-16,1751.7052,1766.1375,1729.0368,1758.4244,15018218.0,142643106071.0,SH000688,0.5776
2026-06-17,1729.2282,1841.3654,1725.9007,1840.8211,18018313.0,176921688223.0,SH000688,4.6858
2026-06-18,1837.0702,1937.3012,1836.0381,1911.5132,17710999.0,209534843406.0,SH000688,3.8402
2026-06-22,1922.4741,1963.3274,1879.59,1948.9281,19191334.0,200856205549.0,SH000688,1.9573
2026-06-23,1929.2657,1982.9062,1890.1626,1916.2123,18137295.0,186831990845.0,SH000688,-1.6787
2026-06-24,1896.3406,1997.9046,1886.7407,1989.4257,18532528.0,194575244326.0,SH000688,3.8207
2026-06-25,2004.7749,2076.8821,2000.8011,2066.3309,18510032.0,220503757844.0,SH000688,3.8657
2026-06-26,2034.4327,2076.4654,1976.9228,2032.2842,19695170.0,201727512998.0,SH000688,-1.6477
2026-06-29,2039.6674,2127.8008,2013.5122,2126.0105,20661484.0,230072493023.0,SH000688,4.6119
2026-06-30,2132.8822,2214.6127,2113.9499,2207.8648,19617861.0,219350486072.0,SH000688,3.8501
2026-07-01,2205.6555,2255.2481,2120.363,2153.0431,22580954.0,232328268900.0,SH000688,-2.483
2026-07-02,2059.898,2105.2909,1978.3199,1987.291,20913363.0,214952503503.0,SH000688,-7.6985
2026-07-03,1978.7546,2039.3056,1948.1723,1975.6001,17583808.0,174846760565.0,SH000688,-0.5883
2026-07-06,2015.1809,2022.9102,1913.8219,1996.1029,16511997.0,173537383477.0,SH000688,1.0378
2026-07-07,1965.7953,2039.598,1950.979,2001.5859,13973250.0,159559515937.0,SH000688,0.2747
2026-07-08,2022.451,2078.642,1961.6378,2016.2327,15720588.0,169350311761.0,SH000688,0.7318
2026-07-09,2047.2376,2188.982,2023.5444,2185.8251,18580605.0,224511523905.0,SH000688,8.4114
2026-07-10,2190.1784,2233.5376,2064.9756,2064.9756,23073429.0,235095867644.0,SH000688,-5.5288
2026-07-13,2038.3623,2110.179,1974.0548,1994.3192,18337937.0,214851455567.0,SH000688,-3.4217
2026-07-14,1994.4401,2026.4707,1895.5553,2009.7296,16013950.0,202059847034.0,SH000688,0.7727
2026-07-15,2021.5782,2028.6519,1908.1784,1924.2735,14281933.0,169644623956.0,SH000688,-4.2521
2026-07-16,1869.9362,1947.2472,1828.5734,1846.8766,14226782.0,174820562239.0,SH000688,-4.0221
2026-07-17,1829.9808,1844.3787,1698.3234,1715.4044,16629024.0,191473530246.0,SH000688,-7.1186
2026-07-20,1764.5933,1776.0733,1646.3869,1718.6895,17984793.0,183748976943.0,SH000688,0.1915
2026-07-21,1747.4897,1904.8579,1663.8498,1903.1613,19512745.0,213055050259.0,SH000688,10.7333
2026-07-22,1874.7785,1934.6051,1836.107,1860.0848,16238611.0,192916671108.0,SH000688,-2.2634
2026-07-23,1876.6134,1876.9857,1770.5321,1789.6941,11924269.0,139187112196.0,SH000688,-3.7843
2026-07-24,1766.2589,1831.2755,1748.7968,1787.1958,10177526.0,120544745795.0,SH000688,-0.1396
2026-07-27,1780.7201,1816.4301,1724.4658,1807.951,10347297.0,123092124566.0,SH000688,1.1613
2026-07-28,1755.8671,1797.5839,1675.988,1693.4786,10883944.0,134055060199.0,SH000688,-6.3316
2026-07-29,1704.5847,1711.5787,1608.1411,1678.7376,14218535.0,147150556757.0,SH000688,-0.8705
2026-07-30,1653.4672,1671.5089,1561.9961,1588.4149,14695675.0,151830717441.0,SH000688,-5.3804
2026-07-31,1721.3552,1731.2064,1635.6847,1635.9624,14507410.0,162975217250.0,SH000688,2.9934
2026-08-03,1619.294,1621.9932,1549.7394,1552.8903,12334986.0,124510595123.0,SH000688,-5.0779
2026-08-04,1569.6234,1631.0116,1556.1118,1616.3582,11344343.0,126488484901.0,SH000688,4.0871
2026-08-05,1615.2608,1715.2759,1615.2608,1693.6677,12956469.0,154309294028.0,SH000688,4.7829
2026-08-06,1651.1078,1727.7348,1651.1078,1701.2916,12017178.0,123780516940.0,SH000688,0.4501
2026-08-07,1697.3702,1747.7367,1686.6608,1744.0236,12141418.0,136268941852.0,SH000688,2.5117
